"","temp_ssp2_20","temp_ssp4_20","chl_ssp2_20","chl_ssp4_20","mld_ssp2_20","mld_ssp4_20","temp_ssp2_50","temp_ssp4_50","chl_ssp2_50","chl_ssp4_50","mld_ssp2_50","mld_ssp4_50","temp_ssp2_90","temp_ssp4_90","chl_ssp2_90","chl_ssp4_90","mld_ssp2_90","mld_ssp4_90","occurance_status","long","lat"
"9888",26.6380454672036,26.7027704713942,0.122193384440382,0.137655237549498,29.4405187815009,29.7899811365369,27.377850632269,27.5511542195417,0.133847811353119,0.158657258702189,30.1300327816763,29.7537887893522,27.9438664765048,28.4039030871836,0.138260503101557,0.151713545770982,31.2653517416869,31.2143172198777,"ABSENT",-93.825,25.025
"9889",28.0916249204956,28.1180994434065,0.148150241761716,0.156831180764332,27.2097803776066,26.5044821646042,28.7475063115779,28.8644579727641,0.149920417171069,0.162100310156075,27.0159097119002,26.812070240802,29.3213587592036,29.6398258425323,0.152676557165837,0.159455115615835,26.5667627486424,25.8711266524436,"ABSENT",-86.625,23.075
"9890",26.2159438118587,26.3519678424281,0.13291612203682,0.162156129502126,29.212440180722,28.5563517677093,26.9809476829455,27.1142875717468,0.153248887803067,0.18455259374052,29.2906297691502,28.6987313782858,27.5522544326308,27.9471840301442,0.154144919695313,0.182414568849598,31.0325137639966,30.5143796633377,"ABSENT",-95.675,25.925
"9891",28.5664702269697,28.5995906523734,0.0791013927687801,0.0758748698382377,30.6504900236195,31.022492196691,29.2561835793111,29.4096023015639,0.0835830056378787,0.079685679741111,31.6702000798086,32.3287147866549,29.8527679534649,30.2876307565607,0.0840124362320638,0.0860919892581382,32.5471067609005,32.8310216690944,"ABSENT",-83.075,19.175
"9892",28.4696522974777,28.4943393285967,0.075875952510872,0.0862633478501027,26.1650651724396,25.4474471881324,29.1178715732421,29.1405834148979,0.0789566443288507,0.0928843694929411,27.195353425657,26.1027236845608,29.6711993380699,29.908044482262,0.0783100888567051,0.0903716953712688,27.7152210320396,27.2059373515533,"ABSENT",-81.625,14.425
"9893",26.7815878423572,26.8243132686521,0.134523665089719,0.138404515212211,25.6773015282836,26.1190389753777,27.48566080378,27.6337512267701,0.154648102351085,0.204658639306868,24.6354764756337,25.8211616638952,28.0649509625386,28.489244448413,0.164344174559284,0.202847235419871,26.2477210432361,26.0048604685492,"ABSENT",-88.725,26.075
"9894",28.5237168714878,28.5323708868239,0.0774171113989457,0.0827273244018221,35.0513118889727,35.1442865902315,29.1940444074277,29.3102173637515,0.0788296098556184,0.0778990451971249,35.9853695690998,36.0031677595479,29.776276470193,30.1607394163222,0.0793383793309254,0.0795744830820024,36.6126148894992,36.7412260950897,"ABSENT",-85.125,19.425
"9895",27.2212732934914,27.2577119559937,0.0913808069363448,0.0886873074846053,25.2535393401885,25.7729276411359,27.9450129911396,28.1394775896354,0.0936361292110168,0.0970528229060573,25.3527143204469,25.5064080723616,28.4949727640414,28.9380749197736,0.0953609694965579,0.097568652640025,26.2818814303089,27.1839695439277,"ABSENT",-93.875,22.375
"9896",28.0729782396462,28.099828558522,0.107308353837564,0.116397508296527,36.4202069082939,35.6119930436955,28.7202204879572,28.8452167437095,0.11262088541957,0.1303608696216,35.6907850616962,35.899201197409,29.2890098253995,29.6609138150009,0.116580123668286,0.126406372424419,35.5344356624879,34.7909917491173,"ABSENT",-85.325,23.825
"9897",27.0588057572686,27.2047694111522,0.132917360214498,0.127133820244906,27.641630783301,28.2777338182486,27.7972897061783,28.0769034562105,0.126445134397729,0.135673185304792,27.1167638775775,29.42030169703,28.4030784118442,29.0381281126202,0.128665772281907,0.124298416055587,29.142850563836,29.2429933579931,"ABSENT",-86.025,26.725
"9898",26.5958972723207,26.761539806392,0.1372765264635,0.118855816136867,27.1324456542163,27.5595283199556,27.3665194305037,27.668183197569,0.134182964160598,0.13224589267973,26.6234175729582,28.4897267456931,28.0127713617356,28.6873187081306,0.125788058923774,0.127738722172549,27.5698413773401,28.8389158076322,"ABSENT",-84.325,26.575
"9899",25.8775648368798,26.0162723307386,0.238321417434702,0.297206376860773,29.6670710658543,29.751751599466,26.6801103149251,26.8526819349747,0.245277334644808,0.294773966281979,30.13499396478,30.8698081938524,27.2698368123301,27.7434535484152,0.268031780471126,0.233109750634243,32.386503813684,31.9291178194604,"ABSENT",-93.075,27.725
"9900",23.9863288232326,24.0471342045547,0.516793552581289,0.505395305448633,13.3860334300047,12.9743178389024,24.6461867035392,24.8718105783381,0.529184514852693,0.54069700744884,13.21111787867,12.6481748259978,25.2606273058189,25.7454464650921,0.525134726144476,0.539013391537662,12.9731199930384,12.9995159735985,"ABSENT",-81.175,29.675
"9901",25.2493355419704,25.439323517581,0.216212605242728,0.251274787180283,25.3918199631594,24.9083959342715,26.0441405423165,26.4107314455755,0.229332779404794,0.26358250733335,24.832780143225,26.6850362548415,26.6679415894503,27.3905653962795,0.247422434472058,0.262390541452568,25.7792053836401,26.9815188221203,"ABSENT",-87.125,29.175
"9902",28.5833274817957,28.5904744658995,0.0676198714784792,0.0779203369274888,33.1709437285391,32.9882227676809,29.2487625602772,29.3379542779212,0.0723587686072565,0.0730791015437404,33.8329609148181,33.5763959680109,29.8264047411091,30.1822717743636,0.0730057249611774,0.0773752133624789,34.4736289369539,34.5168932131292,"ABSENT",-85.225,18.175
