"","temp_current","chl_current","mld_current","temp_ssp2_50","temp_ssp4_50","chl_ssp2_50","chl_ssp4_50","mld_ssp2_50","mld_ssp4_50","temp_ssp2_90","temp_ssp4_90","chl_ssp2_90","chl_ssp4_90","mld_ssp2_90","mld_ssp4_90","occurance_status","long","lat"
"10270",28.2387326910849,0.0834359554304507,27.4127574407008,29.1074030046673,29.1365892849199,0.0785482596316697,0.0943714035043569,28.5705834828282,27.6905561878579,29.6668286157026,29.9188884254814,0.0774229415501456,0.0986473742010062,29.0140361437757,28.9268707176276,"ABSENT",-80.725,15.475
"10271",28.2200905385119,0.0939698149272512,33.9626894550827,29.152420598827,29.3557813868593,0.0951699169067659,0.098208728447327,34.9324743205608,35.3979043548392,29.7632917747616,30.2480192123396,0.0974307690844091,0.100893552703357,35.4524016167232,36.0544180943843,"ABSENT",-81.925,20.525
"10272",26.8023351130597,0.116215139821449,30.2067706958694,27.6991685624159,27.8289094252492,0.119770646073298,0.131800000597022,30.076970252817,31.1327097588903,28.2520547414119,28.6139190621418,0.121770902646907,0.129617775444509,30.6020243583208,30.6559093626063,"ABSENT",-90.475,24.225
"10273",27.9338044844311,0.108916897573149,32.1704933997704,28.8365319297812,29.0074677168123,0.110614510751686,0.120600734027717,32.8631467722892,33.7789000511662,29.4352599074629,29.8870271653418,0.114612585349586,0.122537953750599,33.2119917750256,33.4771885573654,"ABSENT",-84.525,22.725
"10274",26.6921161645338,0.123190298296318,24.0553451027598,27.6809849401347,27.8585033035049,0.120353499892718,0.130168466029163,23.9138174130087,23.3325797519384,28.2501247664174,28.7116893059304,0.123906862536693,0.1263275187388,24.92900660303,25.1077289591715,"ABSENT",-97.125,23.225
"10275",26.2369478258098,0.198833767481493,13.1564871182955,27.1630352187074,27.4490830673205,0.197242368901808,0.182479553753411,13.3236435695449,13.3481365658862,27.8016211626799,28.3682451730988,0.191005475650123,0.190499224350436,13.6092554852297,13.3034478175124,"ABSENT",-81.925,25.325
"10276",28.7262725875328,0.306801067321534,12.485227248551,29.7678486313664,29.9161022349643,0.308634073183265,0.312907592499458,12.7288084432866,12.1251438916242,30.4243812780828,30.9149601625093,0.307128308380808,0.30755710542745,13.0267320197938,12.7584336083157,"ABSENT",-95.775,15.725
"10277",28.6208305990534,0.10871746340109,16.0107492329646,29.4969563306136,29.5745533572457,0.104327566781492,0.0968060563396806,16.7873077766471,16.3656108052181,30.0756127217559,30.3795155037358,0.107109929220023,0.0956377328864232,17.5327672667366,18.0736001883714,"ABSENT",-87.925,15.975
"10278",27.0723161151894,0.143171056777593,18.5470075242188,28.0388759421162,28.2287921497836,0.144725658108756,0.138974348792133,18.1614242287871,18.5207630816696,28.6386633732148,29.0859839712785,0.143003881453248,0.136436273210775,19.5191137917539,20.4234003124823,"ABSENT",-96.025,19.775
"10279",27.0271586385669,0.109409925007574,20.2045023257511,27.9883920997122,28.1817504601549,0.111265316621704,0.10591708080842,19.8943744902211,20.1692578648844,28.5855526766964,29.0357795343086,0.109338075116188,0.103532305608856,21.2372919216225,22.0131592229051,"ABSENT",-95.725,20.075
"10280",28.2367721118139,0.0891433373448582,34.5568939103739,29.1640033168127,29.3313404083324,0.0897690426631233,0.088818727501471,35.9612992610655,36.6891049833646,29.7531519777557,30.215601070502,0.0906383662293801,0.0914244492612085,36.5482915218341,37.0630273445255,"ABSENT",-83.775,20.075
"10281",28.4201174150656,0.0803555453413969,31.7748519181149,29.3134430041775,29.3822301953593,0.0751753764947093,0.0820712680904244,31.9957774462912,31.6458483295211,29.889205993028,30.2125455570714,0.0754725972202393,0.0927203908790671,32.4270708983203,32.6325524289339,"ABSENT",-83.175,17.575
